"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C413","C0603","42.6mm","20.8mm","42.6mm","20.8mm","43.45mm","20.8mm","B","180.00","10nF"
"C412","C0603","27.2mm","18.8mm","27.2mm","18.8mm","28.05mm","18.8mm","B","180.00","330nF"
"C411","C0603","27.2mm","20mm","27.2mm","20mm","28.05mm","20mm","B","180.00","3.3nF"
"C410","C0603","42.55mm","29.2mm","42.55mm","29.2mm","43.4mm","29.2mm","B","180.00","1nF"
"C409","C0603","9.8mm","35.2mm","9.8mm","35.2mm","9.8mm","36.05mm","T","270.00","15nF"
"C408","C0603","34.3mm","31.4mm","34.3mm","31.4mm","34.3mm","30.55mm","T","90.00","220nF"
"C407","C-1206","42.2mm","23.6mm","42.2mm","23.6mm","43.7mm","23.6mm","B","180.00","1uF"
"C406","C0603","34mm","31.4mm","34mm","31.4mm","34mm","32.25mm","B","270.00","1.5nF"
"C405","C0603","30.4mm","31.4mm","30.4mm","31.4mm","30.4mm","32.25mm","B","270.00","1.5nF"
"C404","C-1206","26.4mm","24mm","26.4mm","24mm","24.9mm","24mm","B","0.00","2.2uF"
"C403","C-1206","36.2mm","16.8mm","36.2mm","16.8mm","37.7mm","16.8mm","B","180.00","2.2uF"
"C303","C-0805","10.2mm","13.85mm","10.2mm","13.85mm","9.15mm","13.85mm","T","360.00","1uF"
"C302","C-0805","10.2485mm","8.4mm","10.2485mm","8.4mm","9.1985mm","8.4mm","T","360.00","1uF"
"C301","C0603","15.6mm","18mm","15.6mm","18mm","14.75mm","18mm","T","360.00","100nF"
"C300","C0603","15.6mm","32.4mm","15.6mm","32.4mm","14.75mm","32.4mm","T","360.00","100nF"
"C202","C0603","14.9989mm","35.801mm","14.999mm","35.801mm","15.6mm","35.2mm","T","135.00","100nF"
"C201","C0603","9.0593mm","49.6603mm","9.0593mm","49.6603mm","8.4582mm","50.2614mm","T","315.00","100nF"
"C200","C0603","6.7965mm","47.3976mm","6.7965mm","47.3976mm","6.1955mm","47.9986mm","T","315.00","100nF"
"C400","WCAP-ATLI_10x16x5x0.6","23.2mm","16.6mm","23.2mm","16.6mm","21.4322mm","18.3678mm","T","315.00","220 µF"
"C401","WCAP-ATLI_10x16x5x0.6","23.2mm","27mm","23.2mm","27mm","21.4322mm","25.2322mm","T","45.00","220 µF"
"C415","WCAP-PTHR_8x11.5x3.5x0.6","44.2mm","25.4mm","44.2mm","25.4mm","45.95mm","25.4mm","T","0.00","10uF"
"C416","WCAP-PTHR_8x11.5x3.5x0.6","44.2mm","17mm","44.2mm","17mm","45.95mm","17mm","T","0.00","10uF"
"C417","C-1812","44.2mm","7.2mm","44.2mm","7.2mm","46.25mm","7.2mm","T","180.00","2.2uF"
"C418","C-1812","44.2mm","11mm","44.2mm","11mm","46.25mm","11mm","T","180.00","2.2uF"
"F400","0154010.DR","34.6mm","9.8mm","34.6mm","9.8mm","34.6mm","12.985mm","B","270.00","0154010.DR"
"C402","C-1812","23.2mm","6.6mm","23.2mm","6.6mm","21.15mm","6.6mm","B","360.00","2.2uF"
"S400","7466313-2","44.2mm","2mm","44.2mm","2mm","46.97mm","2mm","T","0.00","7466313"
"S401","7466313-2","34.6mm","2mm","34.6mm","2mm","37.37mm","2mm","T","0.00","7466313"
"J303","2P_Angled_Header_Male,_THT","10.2485mm","5.33mm","10.2485mm","2.54mm","10.2485mm","4.06mm","T","0.00","2p male right angle header"

